time,kind,level,count,side,res,cost
2023-04-14 00:00:00,LEVEL,30511.666666666668,3,-1,-1,0.02232220698064316
2023-04-14 15:00:00,CONTROL,30178.283032042455,3,1,1,0.019657718052057106
2023-04-16 11:00:00,LEVEL,30213.666666666668,3,1,1,0.04723653182203116
2023-04-16 18:00:00,LEVEL,30478.333333333332,3,-1,1,0.04742556122862469
2023-04-16 01:00:00,CONTROL,30117.305978991964,3,1,1,0.04386880565013172
2023-04-17 00:00:00,LEVEL,30153.875,4,1,-1,0.03292244702992254
2023-04-17 00:00:00,CONTROL,29871.321563000012,4,1,1,0.03261395100535672
2023-04-18 11:00:00,LEVEL,30153.875,4,-1,-1,0.024590316004077406
2023-04-18 12:00:00,LEVEL,30447.13333333333,3,-1,1,0.02450350250658077
2023-04-18 06:00:00,CONTROL,29719.38577164723,4,-1,-1,0.024922569896818795
2023-04-18 11:00:00,CONTROL,30332.825731372963,3,-1,1,0.024736249322220495
2023-04-19 23:00:00,LEVEL,28604.8,3,1,1,0.015219619905890934
2023-04-19 08:00:00,LEVEL,28807.433333333334,3,1,1,0.015993855798647878
2023-04-19 08:00:00,LEVEL,29583.333333333332,3,1,-1,0.01642463463862914
2023-04-19 08:00:00,LEVEL,29930.5,3,1,-1,0.016617381196106687
2023-04-19 02:00:00,LEVEL,30153.875,4,1,-1,0.021864992862160412
2023-04-19 23:00:00,CONTROL,28693.545128912367,4,1,1,0.015266838104603933
2023-04-19 23:00:00,CONTROL,28707.02706436477,4,1,-1,0.015274011373886757
2023-04-19 23:00:00,CONTROL,28700.564138674414,4,1,1,0.015270572675749126
2023-04-19 08:00:00,CONTROL,28994.4745110968,3,1,1,0.016097700858044288
2023-04-19 08:00:00,CONTROL,29110.007598536104,3,1,1,0.016161844703110093
2023-04-19 08:00:00,CONTROL,29404.519917267124,3,1,-1,0.01632535762361936
2023-04-19 00:00:00,CONTROL,30270.0400547071,3,1,-1,0.02108721632199038
2023-04-20 19:00:00,LEVEL,28100.475000000002,4,1,-1,0.014279603633360852
2023-04-20 19:00:00,LEVEL,28172.842857142856,7,1,-1,0.014316378254280806
2023-04-20 12:00:00,LEVEL,28305.075,4,1,1,0.015870521446593747
2023-04-20 12:00:00,LEVEL,28399.475,4,1,1,0.015923451079338347
