timestamp,open,high,low,close,volume
01/02/2026,78706.7,79396.8,75644,76931.5,186984.08
02/02/2026,76931.6,79311,74555,78692.5,259646.414
03/02/2026,78692.5,79163,72889.2,75732.4,307725.516
04/02/2026,75732.4,76952.5,71838,73137.4,293124.639
05/02/2026,73137.5,73316.3,62233.3,62868.1,670089.741
06/02/2026,62868.1,71714.4,59800,70544.5,559182.769
07/02/2026,70544.5,71690,67250,69254.2,266663.651
08/02/2026,69254.3,72300,68843.7,70288.1,162753.587
09/02/2026,70288.2,71434.9,68271.7,70110.5,222442.828
10/02/2026,70110.6,70499.9,67883,68805.3,183872.609
11/02/2026,68805.3,69262.7,65718.5,67054.4,256625.524
12/02/2026,67054.8,68385,65081,66243.1,199993.259
13/02/2026,66243.2,69473.7,65833.9,68821.5,183043.289
14/02/2026,68821.5,70557.7,68689.1,69795.4,114534.246
15/02/2026,69795.4,70938.5,68029.6,68796.9,151250.13
16/02/2026,68796.9,70110.9,67250,68862.5,149579.748
17/02/2026,68862.6,69228.6,66588,67475.9,149185.122
18/02/2026,67475.9,68438,65826.1,66422.8,163973.391
19/02/2026,66422.8,67299.4,65595.7,66974,147432.601
20/02/2026,66973.9,68283.7,66408.1,67979.3,225303.971
21/02/2026,67979.3,68687,67488.9,67933.1,87495.493
22/02/2026,67933.2,68220,67150,67613.5,84343.422
23/02/2026,67613.6,67655.8,63860,64625.8,277151.296
24/02/2026,64625.8,64980,62401.7,64031.3,223150.569
25/02/2026,64031.4,69999,63876,67952.5,299238.818
26/02/2026,67952.5,68850,66462,67448.2,177837.055
27/02/2026,67448.1,68188.8,64875.6,65836,205957.364
28/02/2026,65836,67735,62979.5,66937.1,257922.786
01/03/2026,66937,68189,65011,65750,219111.436
02/03/2026,65749.9,70100,65234.4,68801.8,277378.032
03/03/2026,68801.8,69221.6,66080,68295.3,257469.9
04/03/2026,68295.2,74046.5,67350,72641.4,357143.496
05/03/2026,72641.4,73539.1,70612.8,70854.8,226168.28
06/03/2026,70854.8,71387.5,67712.3,68083,213382.703
07/03/2026,68083,68524.9,66850.1,67232.1,94570.162
08/03/2026,67232.1,68171.6,65569.2,65934.3,155747.973
09/03/2026,65934.3,69498,65770.5,68394.1,237211.547
10/03/2026,68394,71748.1,68345,69901.9,265674.484
11/03/2026,69901.8,71286,68932.9,70150,195627.956
12/03/2026,70150,70756.5,69150,70480.1,186490.593
13/03/2026,70480.1,73870,70342.7,70895.5,300232.121
14/03/2026,70895.5,71272.3,70256,71174.4,79283.014
15/03/2026,71174.4,73199.9,70815.7,72778.9,126474.242
16/03/2026,72778.8,74880,72235.6,74846.4,269076.99
17/03/2026,74846.4,75998.9,73330.3,73872.4,218278.973
18/03/2026,73872.3,74633,70456,71202.9,226755.469
19/03/2026,71202.9,71598.3,68750,69887.4,218646.177
20/03/2026,69887.4,71342.2,69350,70472.7,186241.517
21/03/2026,70472.6,71077.7,68511.3,68881.5,74084.886
22/03/2026,68881.5,69555.8,67300,67830.6,134880.564
23/03/2026,67830.7,71789.8,67400.1,70865.9,291099.678
24/03/2026,70866,71377.5,68884.5,70523.9,196191.95
25/03/2026,70524,71999.9,70375,71297.5,166515.849
26/03/2026,71297.5,71408.1,68115.8,68788,186473.614
27/03/2026,68788.1,69142.7,65501,66364.2,212351.048
28/03/2026,66364.1,67284,65888,66334.8,89373.492
29/03/2026,66334.8,67100,64918.2,65977.9,110278.396
30/03/2026,65978,68148.4,65754.2,66764.4,187059.065
31/03/2026,66764.4,68600,65938,68241.5,243333.085
01/04/2026,68241.4,69288,67534.9,68086.5,157276.22
02/04/2026,68086.4,68639.1,65676.1,66868.5,188358.921
03/04/2026,66868.6,67350,66240,66930,79267.833
04/04/2026,66930,67554.5,66745.5,67271,50770.337
05/04/2026,67271.1,69108,66575.5,68997.9,104918.169
06/04/2026,68997.9,70332.5,68227.5,68817.9,166757.236
07/04/2026,68817.9,72743.4,67711,71890.2,232828.247
08/04/2026,71890.2,72858.5,70671.6,71038.1,183378.492
09/04/2026,71038.2,73128,70428,71750.4,175806.457
10/04/2026,71750.4,73450,71382.1,72917.4,156569.666
11/04/2026,72917.4,73773.4,72451.9,73013.4,80169.67
12/04/2026,73013.4,73094.4,70458.2,70711.1,134822.989
13/04/2026,70711.2,74870,70517.3,74385,213029.519
14/04/2026,74384.9,76009,73766.8,74106.9,183261.49
15/04/2026,74106.9,75425.6,73449,74776.2,131029.771
16/04/2026,74776.3,75500,73256.8,75106.8,158397.725
17/04/2026,75106.8,78300,74480,77030.6,239395.915
18/04/2026,77030.6,77380,75395.9,75653.8,105894.391
19/04/2026,75653.8,76200,73700.2,73758.4,128978.211
20/04/2026,73758.4,76531,73669,75790.1,166149.667
21/04/2026,75790.1,76999,74777.9,76288.2,164760.987
22/04/2026,76288.3,79444,76078.6,78139.8,191087.096
23/04/2026,78139.7,78648,76504.6,78216.8,172485.012
24/04/2026,78217.4,78546,77206.8,77395.4,127783.005
25/04/2026,77395.3,77847,77100,77585,46592.486
26/04/2026,77585,78994.8,77280,78613.5,79943.305
27/04/2026,78614.4,79455,76400,77331.2,169100.883
28/04/2026,77331.2,77450,75635.6,76298.1,103918.877
29/04/2026,76298.2,77873.2,74868,75749.9,186533.503
30/04/2026,75749.9,76630.3,75273.5,76305.4,99754.46
01/05/2026,76305.4,78879.9,76265.4,78192,152998.306
02/05/2026,78191.9,79145,77979.3,78652.9,51441.108
03/05/2026,78652.8,79428.9,78027,78529,72033.621
04/05/2026,78529,80771.7,78128.3,79826.1,280916.582
05/05/2026,79826.1,81745.4,79761.2,80861.9,170921.528
06/05/2026,80861.9,82828.7,80651.2,81390.1,158200.508
07/05/2026,81390,81680.6,79461.5,79969.4,134727.652
08/05/2026,79969.5,80478,79137.4,80155.2,106762.913
09/05/2026,80155.2,81043.2,80080,80634,55957.334
10/05/2026,80634,82460.5,80225.1,82177.7,94950.803
11/05/2026,82177.7,82350,80394,81699.1,121990.421
12/05/2026,81699.1,81757.3,79801,80461,121313.956
13/05/2026,80461,81270.2,78713.8,79288.3,139700.645
14/05/2026,79288.2,81999,78869.4,81048.9,175883.625
15/05/2026,81048.8,81623.8,78610,79074,153823.505
16/05/2026,79074,79199.7,77601.8,78104.2,86150.451
17/05/2026,78104.3,78564.3,76666,77430.4,86217.669
18/05/2026,77430.4,77757.5,76014.2,76963.2,178363.499
19/05/2026,76963.2,77384.6,76107.1,76799.9,99046.639
20/05/2026,76800,77825.8,76485,77510.3,107607.406
21/05/2026,77510.3,78180,76696.7,77586.2,117095.161
22/05/2026,77586.3,77862.7,75322,75513.1,116206.213
23/05/2026,75513.1,77427,74203.6,76715.2,153827.753
24/05/2026,76715.3,77600,76056,77030.3,91134.277
25/05/2026,77030.3,77887.9,76871.4,77281.5,76708.408
26/05/2026,77281.5,78077.1,75641.2,75905.5,164920.082
27/05/2026,75905.6,76155.5,74210,74418.1,144715.461
28/05/2026,74418,74565.3,72556,73591.4,179445.677
29/05/2026,73591.4,74293.1,72436,73428.2,146157.182
30/05/2026,73428.2,74108.8,73130.1,73856.8,52543.686
31/05/2026,73856.9,74250,73340.7,73653.2,58241.459
01/06/2026,73653.2,74070.5,70650.9,71391.5,213471.128
02/06/2026,71391.5,71397,66150.7,66730,346702.152
03/06/2026,66730.1,67493.8,64050.8,64117.7,310901.538
04/06/2026,64117.7,64739.8,61344.8,63853.4,431174.611
05/06/2026,63853.4,63955,59080,61022,478161.885
06/06/2026,61022,61500,59451.3,60849.7,174760.843
07/06/2026,60849.7,64250,60708,63298.5,217479.033
08/06/2026,63299,64179.5,62377,63057.9,184441.053
09/06/2026,63057.9,63499.9,60755,61695,221399.474
10/06/2026,61694.9,62840.2,60691.9,61483.7,193054.264
11/06/2026,61483.6,63915.3,61483.6,63597.9,193994.574
12/06/2026,63598,64362.6,62800,63547,145723.782
13/06/2026,63547,64738,63360,64418.2,76161.387
14/06/2026,64418.3,65775,63650,65702.1,116733.458
15/06/2026,65702.1,67255.4,65314.3,66285.9,167952.941
16/06/2026,66285.9,66956.7,65328.8,65644.8,129106.426
17/06/2026,65644.8,66419.2,63881.2,64472.9,199486.299
18/06/2026,64472.9,64780,62232.1,62924.1,187698.716
19/06/2026,62924,63645,62237.2,63512.6,112226.881
20/06/2026,63512.5,64370.9,63136.2,64270,95676.696
21/06/2026,64270.1,64568,63220,63287.1,84982.076
22/06/2026,63287.2,65597.2,63286.2,63990.2,161843.008
23/06/2026,63990.1,64247.2,61870,62696.7,172919.239
24/06/2026,62696.7,63209.6,59060,61051.2,278097.304
25/06/2026,61051.2,61931.1,58030,59771.9,301830.174
26/06/2026,59772,60734,58288,60072,282095.151
27/06/2026,60071.9,60924.7,59819.8,60000.3,81302.593
28/06/2026,60000.4,60543.3,58888,59550.2,103598.697
29/06/2026,59550.2,60758.3,58850,60224.7,227776.275
30/06/2026,60224.7,60250,58160,58605.4,191646.301
01/07/2026,58605.4,61322,57758.6,59999.6,263938.481
02/07/2026,59999.6,62180,59555,61540.6,235950.072
03/07/2026,61540.5,62957.2,61229,62565.5,132498.494
04/07/2026,62565.5,63450,62302.6,63114.8,79649.524
05/07/2026,63114.9,63990.7,62410.1,63617.1,92627.144
06/07/2026,63617.2,64691.9,61297,64023.6,242793.799
07/07/2026,64023.5,64298.1,62638,63335.4,177205.838
08/07/2026,63335.4,63740.2,61520,62255.3,163095.725
09/07/2026,62255.1,63484.9,61666,63197,150854.293
10/07/2026,63197.1,64680,62897,64129.5,138788.057
11/07/2026,64129.5,64497.4,63668.8,63783,53674.895
12/07/2026,63783.1,64271.9,63602.8,63750,60091.946
13/07/2026,63749.9,64411.8,61806,62307,195782.223
14/07/2026,62307,65130,62240.9,65014.7,190875.183
15/07/2026,65014.6,65589.7,64450.9,64721.4,132223.614
16/07/2026,64721.4,64974.5,63712.6,63801,130469.462
17/07/2026,63801.1,64356.7,62505.1,63909.9,165852.813
18/07/2026,63909.9,64837.4,63859.6,64806.7,49226.738
19/07/2026,64806.7,64948.8,64259.5,64694.7,62795.03
20/07/2026,64694.8,65788,63736.1,65224.8,179506.147
21/07/2026,65224.7,66924.1,65115.3,66522.4,138894.915
22/07/2026,66522.3,66711,65505,66082,116810.615
23/07/2026,66082,66284.1,64636,65069.6,124767.778
24/07/2026,65069.6,65780,63666,64116.5,147537.472
25/07/2026,64116.5,64417.1,63760.5,64338.1,46247.634
26/07/2026,64338,64566,64256.4,64339.3,14268.838
01/01/2026,87608.3,88881.4,87508.4,88800,47941.303
02/01/2026,88800,90945.1,88324.4,89951.4,176662.448
03/01/2026,89951.5,90716.9,89261.2,90595.8,56891.269
04/01/2026,90595.8,91779.7,90595.7,91497.1,73773.029
05/01/2026,91497.2,94760.3,91476.5,93822.4,189416.312
06/01/2026,93822.3,94415.4,91209,93708,187443.05
07/01/2026,93708.1,93708.1,90634.1,91328,148986.85
08/01/2026,91328.1,91666,89242,91059.8,168475.944
09/01/2026,91059.8,91999,89632.8,90603.6,140394.677
10/01/2026,90603.7,90800,90351.6,90469.6,25270.741
11/01/2026,90469.7,91252.5,90175.3,90964.4,43544.382
12/01/2026,90964.4,92488,90066,91252.6,169237.383
13/01/2026,91252.5,96863.7,91011,95375.2,200545.918
14/01/2026,95375.2,97932.1,94413.4,96907.9,182043.491
15/01/2026,96908,97155,95080,95567.3,149204.741
16/01/2026,95567.4,95825,94234.5,95503.7,101218.089
17/01/2026,95503.8,95621.9,94977.5,95107.9,38969.233
18/01/2026,95107.9,95490,93550.3,93614,62580.393
