time,dir,entry,stop,target,risk,R
2020-01-08 13:00:00,1,1576.62,1568.083,1602.2309999999993,8.536999999999807,-1.0292842919058223
2020-01-09 06:00:00,-1,1544.05,1555.844,1508.6679999999997,11.794000000000096,-1.0211972189248768
2020-01-09 13:00:00,-1,1549.772,1554.71,1534.9579999999996,4.938000000000102,-1.050627784528148
2020-01-09 20:00:00,-1,1550.712,1552.928,1544.0639999999996,2.216000000000122,-1.1128158844765281
2020-01-10 01:00:00,-1,1547.974,1551.853,1536.3369999999995,3.879000000000133,-1.0644496004124753
2020-01-13 08:00:00,-1,1550.317,1553.01,1542.238,2.6929999999999836,-1.0928332714444862
2020-01-13 14:00:00,-1,1551.093,1555.184,1538.8200000000004,4.0909999999998945,2.938890246883401
2020-01-24 16:00:00,1,1572.429,1568.85,1583.1660000000006,3.5790000000001783,2.9301480860575615
2020-01-27 18:00:00,1,1578.229,1577.055,1581.751,1.1739999999999782,2.787052810902892
2020-01-28 08:00:00,1,1580.282,1577.081,1589.885,3.201000000000022,-1.0781005935645105
2020-01-30 00:00:00,1,1578.189,1575.989,1584.7890000000002,2.2000000000000455,-1.1136363636363613
2020-01-30 19:00:00,1,1579.728,1577.277,1587.0810000000001,2.451000000000022,-1.101999184006527
2020-01-31 08:00:00,1,1578.049,1576.103,1583.8869999999997,1.9459999999999127,2.8715313463514844
2020-02-03 09:00:00,1,1578.771,1574.916,1590.336,3.855000000000018,-1.0648508430609596
2020-02-04 00:00:00,1,1578.334,1577.253,1581.5770000000005,1.081000000000131,-1.231267345050851
2020-02-14 13:00:00,1,1580.051,1574.844,1595.6719999999996,5.20699999999988,2.951987708853465
2020-02-19 00:00:00,1,1601.685,1599.466,1608.342,2.219000000000051,2.887336638125284
2020-02-20 07:00:00,1,1607.191,1603.853,1617.205,3.3379999999999654,2.9251048532055117
2020-03-05 19:00:00,1,1671.718,1666.989,1685.9050000000002,4.729000000000042,2.947134700782407
2020-03-06 13:00:00,1,1673.448,1668.529,1688.2050000000004,4.919000000000096,-1.050823338076844
2020-03-09 07:00:00,1,1681.342,1668.714,1719.2260000000006,12.628000000000156,-1.0197972758948366
2020-03-09 10:00:00,1,1678.139,1662.873,1723.9369999999994,15.265999999999849,-1.016376260972095
2020-03-09 17:00:00,1,1672.64,1668.226,1685.882,4.413999999999987,-1.056637970095152
2020-03-13 15:00:00,-1,1534.831,1568.438,1434.0099999999993,33.6070000000002,-1.00743892641414
2020-03-16 01:00:00,-1,1534.854,1549.122,1492.05,14.268000000000029,-1.0175217269414074
2020-03-16 06:00:00,-1,1544.088,1547.349,1534.305,3.2609999999999673,-1.0766636001226626
2020-03-18 05:00:00,-1,1518.753,1529.921,1485.2489999999996,11.16800000000012,2.977614613180516
2020-03-22 22:00:00,-1,1488.864,1507.935,1431.6510000000003,19.070999999999913,-1.0131089088144303
2020-04-09 12:00:00,1,1673.153,1660.105,1712.297,13.048000000000002,2.9808399754751687
2020-04-15 02:00:00,1,1721.94,1719.956,1727.8920000000005,1.984000000000151,-1.1260080645161195
2020-04-15 19:00:00,1,1721.023,1716.282,1735.2459999999999,4.7409999999999854,-1.0527314912465726
2020-04-16 06:00:00,1,1721.648,1713.394,1746.4099999999996,8.253999999999905,-1.030288345044827
2020-04-23 08:00:00,1,1725.352,1716.796,1751.0200000000002,8.55600000000004,-1.0292192613370732
2020-04-27 01:00:00,1,1722.228,1720.096,1728.6240000000003,2.132000000000062,-1.1172607879924918
2020-04-27 05:00:00,1,1721.657,1719.699,1727.5309999999995,1.9579999999998563,-1.1276813074565977
2020-04-27 08:00:00,1,1722.01,1717.692,1734.964,4.317999999999984,-1.057897174617879
2020-05-08 09:00:00,1,1721.72,1718.306,1731.962,3.4139999999999873,-1.0732278851786763
2020-05-14 13:00:00,1,1731.695,1713.399,1786.583,18.29600000000005,0.8263554875382653
2020-06-21 23:00:00,1,1749.125,1745.39,1760.3299999999997,3.7349999999999,-1.0669344042838036
2020-06-22 08:00:00,1,1749.073,1744.937,1761.4810000000007,4.136000000000195,-1.0604448742746586
2020-06-22 12:00:00,1,1756.308,1745.257,1789.4609999999998,11.05099999999993,1.3321871323862158
2020-07-06 12:00:00,1,1783.19,1777.276,1800.932,5.913999999999987,-1.0422725735542782
2020-07-07 13:00:00,1,1784.866,1778.316,1804.5159999999998,6.5499999999999545,2.961832061068702
2020-07-09 00:00:00,1,1806.855,1805.656,1810.4520000000002,1.1990000000000691,2.791492910758978
2020-07-09 10:00:00,1,1808.377,1805.706,1816.39,2.671000000000049,-1.093597903406962
2020-07-10 09:00:00,1,1806.638,1804.638,1812.638,2.0,-1.125
2020-07-13 18:00:00,1,1808.266,1804.696,1818.9760000000006,3.5700000000001637,-1.0700280112044787
2020-07-30 07:00:00,1,1955.77,1947.183,1981.531,8.586999999999989,-1.0291137766391056
2020-07-30 12:00:00,1,1953.279,1944.773,1978.7970000000003,8.506000000000085,-1.0293910181048669
2020-08-05 16:00:00,1,2031.989,2028.541,2042.3330000000003,3.4480000000000928,2.927494199535965
2020-11-09 15:00:00,-1,1860.609,1870.794,1830.0539999999994,10.185000000000173,-1.0245459008345603
2020-11-11 13:00:00,-1,1858.511,1873.515,1813.4989999999996,15.004000000000133,-1.0166622234070912
2020-11-19 08:00:00,-1,1857.163,1863.945,1836.8170000000002,6.781999999999925,-1.0368622825125335
2020-11-19 10:00:00,-1,1858.961,1863.439,1845.5269999999998,4.4780000000000655,-1.0558284948637777
2020-11-19 13:00:00,-1,1860.559,1863.306,1852.3179999999998,2.747000000000071,-1.0910083727702926
2020-11-19 16:00:00,-1,1859.593,1862.222,1851.7060000000004,2.6289999999999054,-1.0950931913275044
2020-11-23 14:00:00,-1,1841.417,1868.068,1761.4639999999997,26.651000000000067,2.515778019586501
2021-02-17 13:00:00,-1,1778.986,1793.387,1735.7830000000006,14.40099999999984,-1.0173599055621139
2021-02-25 15:00:00,-1,1775.669,1781.434,1758.3740000000005,5.764999999999873,-1.0433651344319177
2021-02-25 17:00:00,-1,1773.174,1781.263,1748.9070000000002,8.088999999999942,2.969093831128693
2021-03-03 08:00:00,-1,1727.366,1733.516,1708.9159999999997,6.150000000000091,2.9593495934959355
2021-03-04 06:00:00,-1,1716.568,1718.175,1711.747,1.606999999999971,-1.1555693839452423
2021-03-04 14:00:00,-1,1714.7,1717.528,1706.2160000000001,2.8279999999999745,-1.0884016973125892
2021-03-04 17:00:00,-1,1700.354,1717.923,1647.6470000000002,17.56899999999996,-1.0142296089703455
2021-03-30 09:00:00,-1,1696.199,1700.919,1682.039,4.720000000000027,2.947033898305085
2021-05-19 07:00:00,1,1867.839,1865.841,1873.833,1.9980000000000473,-1.1251251251251222
2021-05-19 13:00:00,1,1888.996,1864.668,1961.9800000000007,24.328000000000202,-1.010276224926011
